video_id,title,channel,channel_id,publish_date,video_age_days,title_length_words,title_sentiment,category_id,category_name,view_count,like_count,comment_count,like_view_ratio_percent,comment_view_ratio_percent,region,subscriber_count
hdi8Fp874_U,Let's Get Crafty! 🔨Clash of Clans Animation,Clash of Clans,UCD1Em4q90ZUK2R5HKesszJg,2025-07-29T14:01:09Z,1,7,0.0,20,Gaming,2507417,58456,1173,2.3313234296489176,0.04678120950763276,IN,21400000
scGJUuYaB88,नाग पंचमी स्पेशल ~ नाग नागिन की दुःख भरी कहानी ~ आल्हा स्वर -संजो बघेल ~ Naag Panchami Katha,Sanjo Baghel Aalha,UC7Cf-U1G9BO_IzPCONjtcng,2025-07-28T13:30:56Z,2,19,0.0,10,Music,284094,1229,37,0.43260329327616914,0.013023858300421692,IN,787000
-YGE_N1mJUo,Paaji Tussi Dil Lelo ⋮ Avatar Fire And Ash Trailer Review,PJ Explained,UCWkHlUiYLeRSIMP8yM7rxxg,2025-07-29T05:42:50Z,2,11,-0.34,1,Film & Animation,237337,12319,1011,5.1905096971816445,0.42597656496879965,IN,2500000
DlJXVU_d23s,3.9 UPDATE IS HERE IN BGMI SOLO VS SQUAD🔥 #bgmi #bgmilive #shortsfeed #shortslive,NeonXPawanOP,UCuhwPDf9Em5Nx1mpTh65_pg,2025-07-30T19:28:33Z,0,13,-0.34,20,Gaming,410278,5154,0,1.2562213913492803,0.0,IN,172000
kMyTKHEJ-6c,"Pardesiya (From ""Param Sundari"")",Sachin-Jigar - Topic,UCcuXjaACiyViK8QTuztjR6A,2025-07-30T06:42:00Z,1,4,0.0,10,Music,220849,9279,285,4.201513251135392,0.12904744870929913,IN,53400
Z_DJ1wB5FYE,RED SANDALWOOD Official Movie Trailer (Telugu)| Vetri | Diya Mayuri | Ramachandra Raju | ETVWIN,etvteluguindia,UCSs9H1cyB3OHdy8wkit8ZKg,2025-07-29T09:30:07Z,2,15,0.0,24,Entertainment,17210,148,3,0.8599651365485184,0.017431725740848347,IN,22700000
oDF-Y4Ogs1s,How To Complete Naruto Event | Free Bundle Kaise Milega? Epic Ninja Trials Mission Free Fire ,GUNMAX GAMING,UCs0POjPSE-UpCD8mFcAQCRQ,2025-07-30T08:14:37Z,1,16,0.6369,20,Gaming,245304,8426,408,3.434921566709063,0.16632423441933275,IN,1310000
Ht3cyzgve0E,#Video - #Raushan Rohi #रंगदारी #मगही गाना - फरार - #Srishti Bharti - #Rangdari #Maghi Song 2025,Raushan Rohi Entertainment,UCh6r40fbLs62rieVnODZkSw,2025-07-28T09:20:52Z,3,17,0.0,10,Music,829460,52868,4564,6.3737853543269125,0.5502375039182119,IN,1910000
gNLS3HWihiE,Khalid ka Shivaji I 8th Aug I Official Trailer I Raj More I Michael Thevar I Priyadarshan Jadhav,P P Cine Production,UCbGO6bhXSnzH5QZJkZvNolw,2025-07-29T06:33:27Z,2,18,0.0,22,People & Blogs,96985,6035,1217,6.222611744084137,1.2548332216322111,IN,561
15Kf9bzRjb8,Shinchan and Nobita Adopted by SQUID GAME Family! 🥳,Tyro Gaming,UCIpN4Y3Pt00Q9KoQMWI77_Q,2025-07-29T14:06:48Z,1,9,0.4389,20,Gaming,532841,5338,328,1.0017997864278463,0.061556824643749265,IN,1720000
